OBJECTID_1,name,latitude,longitude,Categoria,Cobertura vegetal,Area protegida,Tipo,YearD,YearL,A_o de creacion,CaIUCN
1,Atelopus lozanoi,4.38333,-73.98333,CR,Shrub,Sin registros en Pas,NA,2001,1993,NA,NA
2,Atelopus lozanoi,4.72779,-73.82939,CR,Grassland,Chingaza,PNN,2001,1993,1977,II
3,Atelopus lozanoi,4.66667,-73.75,CR,Shrub,Chingaza,PNN,2001,1993,1977,II
4,Atelopus lozanoi,5.48108,-72.73128,CR,Paramo,Siscunci Oceta,Parque Natural Regional,2001,1993,2009,II
5,Atelopus lozanoi,4.61339,-73.70107,CR,Paramo,Chingaza,PNN,2001,1993,1977,II
6,Atelopus lozanoi,4.73513,-73.87462,CR,Paramo,Rio Blanco y Negro,Reserva Forestal Protectora Nacional,2001,1993,1990,VI
7,Hyla nicefori,6.1,-72.33333,CR,Fragmented forest,Sin registros en Pas,NA,1970,1945,NA,NA
8,Atelopus minutulus,4.18293,-73.81508,CR,Crops,Sin registros en Pas,NA,1988,1984,NA,NA
9,Atelopus minutulus,4.30688,-73.85656,CR,Crops,Sin registros en Pas,NA,1988,1984,NA,NA
10,Atelopus minutulus,4.16923,-73.81577,CR,Mature forest,Sin registros en Pas,NA,1988,1984,NA,NA
11,Atelopus minutulus,4.192,-73.81083,CR,Mature forest,Sin registros en Pas,NA,1988,1984,NA,NA
12,Atelopus minutulus,4.1728,-73.816,CR,Mature forest,Sin registros en Pas,NA,1988,1984,NA,NA
13,Atelopus minutulus,4.15459,-73.8103,CR,Crops,Sin registros en Pas,NA,1988,1984,NA,NA
14,Bolitoglossa pandi,4.2088,-74.47439,EN,Crops,Sin registros en Pas,NA,1963,2011,NA,NA
15,Bolitoglossa pandi,5.03087,-74.25861,EN,Secundary forest,Sin registros en Pas,NA,1963,2011,NA,NA
16,Bolitoglossa pandi,4.87077,-74.43777,EN,Crops,Sin registros en Pas,NA,1963,2011,NA,NA
17,Bolitoglossa pandi,4.91667,-74.45,EN,Crops,Sin registros en Pas,NA,1963,2011,NA,NA
18,Pristimantis acutirostris,6.21667,-73.08333,EN,Crops,Sin registros en Pas,NA,1984,2016,NA,NA
19,Pristimantis acutirostris,6.0985,-73.19886,EN,Grassland,Sin registros en Pas,NA,1984,2016,NA,NA
20,Pristimantis acutirostris,5.98556,-73.21702,EN,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,1984,2016,2011,VI
21,Pristimantis acutirostris,6.11269,-73.21736,EN,Grassland,Sin registros en Pas,NA,1984,2016,NA,NA
22,Pristimantis acutirostris,6.11037,-73.13882,EN,Secundary forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,1984,2016,2011,VI
23,Pristimantis acutirostris,6.0886,-73.1323,EN,Grassland,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,1984,2016,2011,VI
24,Pristimantis jorgevelosai,7.16722,-73.00675,EN,Crops,Sin registros en Pas,NA,1994,2004,NA,NA
25,Pristimantis jorgevelosai,7.11909,-73.03756,EN,Crops,Cerro La Judia,Parque Natural Regional,1994,2004,2009,II
26,Pristimantis jorgevelosai,7.04567,-72.98958,EN,Crops,Sin registros en Pas,NA,1994,2004,NA,NA
27,Pristimantis jorgevelosai,7.04633,-72.96614,EN,Mature forest,El Rasgon,Parque Natural Regional,1994,2004,2009,II
28,Pristimantis jorgevelosai,7.04783,-72.97994,EN,Mature forest,El Rasgon,Parque Natural Regional,1994,2004,2009,II
29,Pristimantis jorgevelosai,7.13461,-73.02961,EN,Mature forest,Cerro La Judia,Parque Natural Regional,1994,2004,2009,II
30,Pristimantis jorgevelosai,6.02946,-73.10922,EN,Mature forest,Guaneta. Alto del Rio Fonce,SFF,1994,2004,1993,IV
31,Pristimantis jorgevelosai,7.04567,-72.98958,EN,Crops,Sin registros en Pas,NA,1994,2004,NA,NA
32,Pristimantis jorgevelosai,7.12354,-72.99302,EN,Mature forest,Sin registros en Pas,NA,1994,2004,NA,NA
33,Pristimantis pugnax,1.0945,-76.81598,VU,Mature forest,Sin registros en Pas,NA,1973,1990,NA,NA
34,Pristimantis pugnax,1.88472,-75.69284,VU,Mature forest,Sin registros en Pas,NA,1973,1990,NA,NA
35,Pristimantis pugnax,1.88848,-75.68848,VU,Mature forest,Sin registros en Pas,NA,1973,1990,NA,NA
36,Pristimantis pugnax,1.86689,-75.62831,VU,Mature forest,Sin registros en Pas,NA,1973,1990,NA,NA
37,Pristimantis pugnax,1.87208,-75.66411,VU,Mature forest,Sin registros en Pas,NA,1973,1990,NA,NA
38,Pristimantis renjiforum,3.85623,-74.49354,EN,Mature forest,Sin registros en Pas,NA,2000,2014,NA,NA
39,Pristimantis renjiforum,4.45584,-74.27623,EN,Crops,Sin registros en Pas,NA,2000,2014,NA,NA
40,Pristimantis renjiforum,4.44222,-74.33551,EN,Crops,Sin registros en Pas,NA,2000,2014,NA,NA
41,Pristimantis renjiforum,4.45015,-74.29931,EN,Crops,Sin registros en Pas,NA,2000,2014,NA,NA
42,Pristimantis renjiforum,3.87521,-74.5151,EN,Mature forest,Sin registros en Pas,NA,2000,2014,NA,NA
43,Pristimantis renjiforum,6.01403,-73.20907,EN,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2000,2014,2011,VI
44,Pristimantis renjiforum,6.47645,-73.17955,EN,Mature forest,Sin registros en Pas,NA,2000,2014,NA,NA
45,Pristimantis renjiforum,6.00976,-73.2277,EN,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2000,2014,2011,VI
46,Pristimantis renjiforum,6.00946,-73.2218,EN,Crops,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2000,2014,2011,VI
47,Strabomantis ingeri,4.6416,-73.54791,VU,Grassland,Sin registros en Pas,NA,1961,2014,NA,NA
48,Strabomantis ingeri,4.90472,-74.42944,VU,Crops,Sin registros en Pas,NA,1961,2014,NA,NA
49,Strabomantis ingeri,6.105,-73.22833,VU,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,1961,2014,2011,VI
50,Strabomantis ingeri,6.09833,-73.28806,VU,Grassland,Sin registros en Pas,NA,1961,2014,NA,NA
51,Strabomantis ingeri,6.0019,-73.22838,VU,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,1961,2014,2011,VI
52,Strabomantis ingeri,4.68284,-74.3899,VU,Secundary forest,Sin registros en Pas,NA,1961,2014,NA,NA
53,Strabomantis ingeri,3.87521,-74.5151,VU,Mature forest,Sin registros en Pas,NA,1961,2014,NA,NA
54,Strabomantis ingeri,6.10858,-73.1985,VU,Grassland,Sin registros en Pas,NA,1961,2014,NA,NA
55,Strabomantis ingeri,4.68826,-74.3846,VU,Crops,Sin registros en Pas,NA,1961,2014,NA,NA
56,Allobates ranoides,4.21158,-73.13042,EN,Secundary forest,Sin registros en Pas,NA,1918,2011,NA,NA
57,Allobates ranoides,4.91667,-74.41667,EN,Crops,Sin registros en Pas,NA,1918,2011,NA,NA
58,Allobates ranoides,4.6,-74.35,EN,Crops,Sin registros en Pas,NA,1918,2011,NA,NA
59,Allobates ranoides,4.773,-73.038,EN,Grassland,Sin registros en Pas,NA,1918,2011,NA,NA
60,Atelopus mandingues,4.56667,-73.68333,CR,Fragmented forest,Chingaza,PNN,2001,1994,1977,II
61,Atelopus mandingues,4.59326,-73.69198,CR,Mature forest,Reserva Colombia,Reservas Forestales Protectoras Regionales,2001,1994,2008,VI
62,Atelopus mandingues,4.58911,-73.67507,CR,Crops,Sin registros en Pas,NA,2001,1994,NA,NA
63,Atelopus mandingues,4.59116,-73.68378,CR,Crops,Sin registros en Pas,NA,2001,1994,NA,NA
64,Atelopus mandingues,4.59148,-73.6652,CR,Fragmented forest,Sin registros en Pas,NA,2001,1994,NA,NA
65,Atelopus mandingues,4.56401,-73.6832,CR,Fragmented forest,Chingaza,PNN,2001,1994,1977,II
66,Atelopus mittermeieri,6.01912,-73.20997,EN,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2006,2007,2011,VI
67,Atelopus mittermeieri,6.11046,-73.19788,EN,Grassland,Sin registros en Pas,NA,2006,2007,NA,NA
68,Atelopus mittermeieri,6.23333,-72.93333,EN,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2006,2007,2011,VI
69,Atelopus mittermeieri,6.16667,-72.93333,EN,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2006,2007,2011,VI
70,Atelopus mittermeieri,6.03222,-73.11045,EN,Mature forest,Guaneta. Alto del Rio Fonce,SFF,2006,2007,1993,IV
71,Atelopus mittermeieri,6.02927,-73.11545,EN,Mature forest,Guaneta. Alto del Rio Fonce,SFF,2006,2007,1993,IV
72,Atelopus monohernandezi,6.51667,-73.16667,CR,Crops,Sin registros en Pas,NA,2002,1995,NA,NA
73,Atelopus monohernandezi,6.04143,-73.13963,CR,Mature forest,Guaneta. Alto del Rio Fonce,SFF,2002,1995,1993,IV
74,Atelopus monohernandezi,6.00626,-73.23147,CR,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2002,1995,2011,VI
75,Atelopus monohernandezi,6.09963,-73.23156,CR,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2002,1995,2011,VI
76,Atelopus monohernandezi,6.15385,-73.28969,CR,Crops,Sin registros en Pas,NA,2002,1995,NA,NA
77,Atelopus monohernandezi,6.01456,-73.2157,CR,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,2002,1995,2011,VI
78,Atelopus monohernandezi,6.01826,-73.1931,CR,Mature forest,Guaneta. Alto del Rio Fonce,SFF,2002,1995,1993,IV
79,Atelopus monohernandezi,6.08118,-73.2003,CR,Grassland,Sin registros en Pas,NA,2002,1995,NA,NA
80,Hyloscirtus denticulentus,7.28813,-72.95443,EN,Crops,Sin registros en Pas,NA,1972,2011,NA,NA
81,Hyloscirtus denticulentus,7.18348,-72.98778,EN,Shrub,Sin registros en Pas,NA,1972,2011,NA,NA
82,Hyloscirtus denticulentus,7.07849,-73.06964,EN,Crops,Sin registros en Pas,NA,1972,2011,NA,NA
83,Hyloscirtus denticulentus,6.88639,-73.36639,EN,Crops,Serrania de Los Yariguies,PNN,1972,2011,2005,II
84,Hyloscirtus denticulentus,4.89554,-73.2543,EN,Grassland,Sin registros en Pas,NA,1972,2011,NA,NA
85,Hyloscirtus denticulentus,7.25888,-72.9877,EN,Mature forest,Sin registros en Pas,NA,1972,2011,NA,NA
86,Hyloscirtus denticulentus,7.17465,-73.0064,EN,Crops,Sin registros en Pas,NA,1972,2011,NA,NA
87,Hyloscirtus denticulentus,6.01,-73.22,EN,Mature forest,Paramos de Guantiva y La Rusia,Distritos Regionales De Manejo Integrado,1972,2011,2011,VI
88,Hyloscirtus denticulentus,5.9,-73.33,EN,Mature forest,Sin registros en Pas,NA,1972,2011,NA,NA
89,Hyloscirtus torrenticola,1.08305,-76.66112,VU,Grassland,Sin registros en Pas,NA,1978,1990,NA,NA
90,Hyloscirtus torrenticola,1.72243,-75.66647,VU,Secundary forest,Sin registros en Pas,NA,1978,1990,NA,NA
91,Hyloscirtus torrenticola,1.73068,-75.67653,VU,Secundary forest,Sin registros en Pas,NA,1978,1990,NA,NA
92,Hyloscirtus torrenticola,1.86694,-75.64028,VU,Secundary forest,Sin registros en Pas,NA,1978,1990,NA,NA
93,Hyloscirtus torrenticola,1.77145,-75.64713,VU,Mature forest,Sin registros en Pas,NA,1978,1990,NA,NA
94,Hyloscirtus torrenticola,1.93215,-75.67799,VU,Crops,Sin registros en Pas,NA,1978,1990,NA,NA
95,Hyloscirtus torrenticola,1.7701,-75.65187,VU,Mature forest,Sin registros en Pas,NA,1978,1990,NA,NA
96,Hyloxalus ruizi,4.45017,-74.3123,CR,Shrub,Sin registros en Pas,NA,1982,1990,NA,NA
97,Hyloxalus ruizi,4.38961,-74.32258,CR,Secundary forest,Sin registros en Pas,NA,1982,1990,NA,NA
98,Hyloxalus ruizi,4.42032,-74.32928,CR,Secundary forest,Sin registros en Pas,NA,1982,1990,NA,NA
